Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Charge per Tenure,Revenue Share,Service Count
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,2600,22.825,0.38442105263157894,0
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,2786,11.875,0.8,2
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,5719,3.923809523809524,0.6938947368421053,1
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,4287,14.180000000000001,0.5970526315789474,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,5444,0.7677966101694915,0.3814736842105263,3
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,4690,34.800000000000004,0.8791578947368421,4
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,4328,1.7564814814814813,0.7987368421052631,3
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,5717,4.653125,0.6269473684210527,0
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,4419,9.55625,0.6437894736842106,1
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,4534,14.975,0.25221052631578944,1
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,2152,9.38888888888889,0.7115789473684211,1
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,5142,5.660714285714286,0.6673684210526316,2
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,4851,12.4,0.2088421052631579,0
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,2283,13.0,0.7663157894736842,3
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,3394,39.95,0.6728421052631579,1
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,3764,5.33,0.8976842105263158,5
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,2667,15.333333333333334,0.3873684210526316,0
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,2227,14.030000000000001,0.5907368421052632,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,3394,10.01,0.4214736842105263,1
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,3638,27.6,0.46484210526315795,1
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,2484,42.3,0.712421052631579,2
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,2556,18.133333333333333,0.45810526315789474,1
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,5980,7.916666666666667,0.8,3
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,4616,4.65,0.6265263157894737,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,5687,24.275,0.4088421052631579,1
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,5687,23.46666666666667,0.592842105263158,0
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,5828,20.1,0.33852631578947373,2
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,4884,14.866666666666667,0.37557894736842107,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,2314,10.2875,0.3465263157894737,2
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,2494,7.635714285714286,0.9002105263157896,4
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,5084,0.3225,0.16294736842105265,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,3810,5.555882352941176,0.7953684210526316,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,5087,12.4,0.2088421052631579,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,3338,35.3,0.5945263157894737,0
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,3676,14.233333333333334,0.7191578947368421,2
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,4839,1.982075471698113,0.8846315789473684,4
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,4643,5.007894736842106,0.8012631578947369,3
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,4094,35.0,0.5894736842105263,0
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,4345,8.277777777777779,0.6273684210526316,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,4061,4.077272727272727,0.3776842105263158,0
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,2018,3.0439999999999996,0.6408421052631579,0
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,2565,36.8,0.6197894736842104,1
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,3677,19.09,0.8037894736842105,2
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,4105,2.26969696969697,0.6307368421052632,0
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,5715,13.433333333333332,0.6787368421052631,1
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,2071,2.0589743589743588,0.6762105263157895,5
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,2212,3.7260000000000004,0.784421052631579,3
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,4149,1.4990909090909093,0.6943157894736842,5
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,2671,23.45,0.5924210526315788,0
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,2473,9.23125,0.6218947368421052,0
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,2683,26.866666666666664,0.6787368421052631,1
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,4903,1.098550724637681,0.6383157894736842,4
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,5250,2.377272727272727,0.8808421052631579,4
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603.0,4352,1.615625,0.8707368421052633,4
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,4157,30.133333333333336,0.7612631578947369,2
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,4939,16.96,0.7141052631578947,2
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,4778,1.9045454545454545,0.3528421052631579,2
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846.0,3598,7.295454545454546,0.6757894736842105,1
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,2927,1.0982142857142858,0.25894736842105265,1
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,5383,16.083333333333332,0.8126315789473684,3
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5,3878,28.55,0.7212631578947369,1
0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2566.5,3642,4.036538461538462,0.8837894736842106,4
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,2431,25.325,0.4265263157894737,1
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,3424,45.425,0.7650526315789473,2
1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75,5888,1.6624999999999999,0.16799999999999998,0
0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4874.7,5502,1.5258928571428572,0.7195789473684211,2
0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2524.45,5795,2.112857142857143,0.6227368421052631,1
1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,4020,1.4207142857142858,0.8374736842105264,3
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,3351,9.95,0.16757894736842105,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6,3448,9.8,0.16505263157894737,0
1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,233.7,2818,20.3375,0.6850526315789474,1
0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9,3804,3.6217391304347823,0.7014736842105262,2
0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3,4902,37.65,0.6341052631578947,1
0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,4221,0.3129032258064516,0.16336842105263158,0
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,518.9,2887,3.4923076923076923,0.3823157894736842,0
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,4105,1.736065573770492,0.8917894736842106,4
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,69.55,2792,34.775,0.5856842105263158,0
0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,5201,2.7948275862068965,0.6825263157894736,1
1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9,4417,20.23,0.8517894736842105,3
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25,2031,12.475,0.840421052631579,3
0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,4498,3.9964285714285714,0.4711578947368421,1
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,55.0,4877,27.5,0.4631578947368421,1
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,74.7,5980,37.35,0.6290526315789474,1
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,4418,3.21,0.6757894736842105,1
1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4,4192,16.016666666666666,0.8092631578947368,3
0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8,5671,4.3125,0.5810526315789474,0
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145.0,4926,0.9244897959183673,0.3814736842105263,3
0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,680.05,2879,9.283333333333333,0.7035789473684211,2
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,2814,37.175,0.6261052631578947,0
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,4263,24.8,0.6265263157894737,1
1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6,3099,1.9021739130434783,0.3684210526315789,3
0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05,4099,4.741666666666666,0.23957894736842106,1
0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1238.45,2538,7.6692307692307695,0.8395789473684211,4
0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,2666,4.480952380952381,0.7924210526315789,3
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,3715,31.400000000000002,0.7932631578947369,3
0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,5032,11.5,0.6778947368421052,1
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,5273,12.391666666666666,0.6261052631578947,0
1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,4131.95,3492,2.55609756097561,0.8825263157894737,4
0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35,4517,2.685714285714286,0.6332631578947369,1
0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1758.6,2115,3.15,0.6366315789473683,0
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,2568,2.8585714285714285,0.8425263157894737,3
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,85.0,5679,42.5,0.7157894736842105,1
1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,834.1,2966,7.822727272727272,0.7246315789473684,1
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597.0,4856,3.2535714285714286,0.383578947368421,3
1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,3266.0,3364,2.1574999999999998,0.7267368421052631,2
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,5974,2.4348484848484846,0.6766315789473684,1
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,2744,2.7847222222222223,0.8442105263157895,3
1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45,5170,1.7596491228070175,0.8446315789473684,3
0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0,233.55,3535,1.4615384615384615,0.16,0
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,75.3,3244,37.65,0.6341052631578947,1
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,5808,17.84,0.7511578947368421,2
0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7,4880,42.85,0.7216842105263158,1
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,5670,4.742307692307692,0.519157894736842,3
0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,6786.4,4196,1.5946969696969697,0.8863157894736842,4
1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,2573,2.995,0.25221052631578944,1
0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05,3983,6.5,0.5473684210526316,4
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,137.6,4479,2.5,0.16842105263157894,0
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25,5059,1.801,0.7583157894736842,2
1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,4687.9,2728,2.5170454545454546,0.9326315789473684,5
0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,6985.65,5720,1.5984848484848484,0.888421052631579,4
1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65,6268,1.8342105263157895,0.8804210526315789,4
1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25,855.3,3573,7.75,0.7178947368421053,1
0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2499.3,2152,1.2761363636363636,0.4728421052631579,1
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,4996,44.775,0.7541052631578947,2
1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1899.65,5604,4.502380952380952,0.7962105263157895,2
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7,2295,22.85,0.38484210526315793,0
0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5,2065,29.833333333333332,0.7536842105263157,2
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,2876,17.3875,0.5856842105263158,0
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,74.6,3860,37.3,0.6282105263157894,1
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3,5432,2.183333333333333,0.1654736842105263,0
1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,2362,6.616666666666667,0.16715789473684212,0
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05,2038,4.85,0.20421052631578948,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65,145.15,2323,23.21666666666667,0.5865263157894738,0
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,191.05,2864,9.129999999999999,0.38442105263157894,0
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05,75.05,4838,37.525,0.632,0
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2550.9,5597,0.9273584905660377,0.41389473684210526,3
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,62.25,3146,11.566666666666668,0.2922105263157895,1
1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,2046,40.0,0.6736842105263158,1
1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,91.1,3475,16.416666666666668,0.4147368421052632,1
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1,270.7,4965,18.775,0.6324210526315789,0
1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,3273,12.5375,0.4223157894736842,1
0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85,2015.35,4535,3.071153846153846,0.6724210526315789,2
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,3556,9.775,0.16463157894736843,0
0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,381.3,5640,17.19,0.7237894736842105,1
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,141.5,2450,11.3375,0.3818947368421053,0
1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,3105.55,4333,2.7794117647058822,0.7957894736842105,2
0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15,2482,2.958064516129032,0.7722105263157895,3
0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3941.7,5269,1.8967391304347827,0.7347368421052631,2
1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1008.55,3658,8.959090909090909,0.8298947368421052,3
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1842.8,5444,4.692857142857143,0.8298947368421052,3
0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,3579,5.36875,0.7233684210526317,2
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85,3161,3.880434782608696,0.751578947368421,2
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,208.85,3038,17.575,0.592,0
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,5264,5.834375,0.7861052631578946,2
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9,4248,9.95,0.16757894736842105,0
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,454.15,4356,14.816666666666668,0.7486315789473684,3
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75,4161,2.817647058823529,0.8067368421052631,3
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,184.65,3051,27.333333333333332,0.6905263157894737,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35,89.5,3478,15.116666666666667,0.3818947368421053,0
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2,4138,26.1,0.43957894736842107,1
0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4874.8,2403,2.3404255319148937,0.9263157894736842,5
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4,5016,1.5357142857142858,0.8147368421052632,3
0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1058.25,5184,8.954545454545455,0.8294736842105264,3
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,489.45,4694,12.192857142857141,0.7187368421052631,2
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,4113.1,2576,2.470731707317073,0.8530526315789474,3
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,3042,34.775,0.5856842105263158,0
1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,6017.65,6105,1.75,0.8694736842105263,4
1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0,7250.15,4544,1.4647887323943662,0.8757894736842106,4
0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,178.7,2969,28.733333333333334,0.7258947368421053,2
1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2,2317.1,4123,5.054545454545455,0.9364210526315789,5
0,0,1,0,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45,1430.25,3696,5.261764705882353,0.7532631578947369,3
1,1,1,0,7,1,2,1,0,0,0,0,2,2,0,1,0,95.6,644.35,3265,11.95,0.8050526315789474,2
1,0,1,0,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,5453.4,4111,1.4909836065573772,0.7658947368421053,3
0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,5610.7,4274,2.1284313725490196,0.9141052631578948,5
0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,292.8,5301,15.77,0.6639999999999999,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,44.4,3522,22.2,0.3738947368421052,0
0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,5509.3,5679,1.7857142857142858,0.8421052631578947,3
0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,229.6,2653,1.5230769230769232,0.16673684210526316,0
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9,5951,44.95,0.7570526315789474,2
0,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,6413.65,5600,1.5896825396825398,0.8433684210526317,3
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8,50.8,3718,25.4,0.4277894736842105,1
1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1463.5,5849,3.5071428571428576,0.6202105263157895,1
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,307.4,5861,23.775,0.8008421052631578,3
